timestamp,Temperature,Relative Humidity,Wind Speed,Wind Direction
20210125T0000,-0.7676633,97.0,3.96,89.99999
20210125T0100,-0.5276633,95.0,5.0528407,85.91438
20210125T0200,-0.34766328,96.0,3.6179552,84.289406
20210125T0300,-0.7776633,96.0,4.802999,77.00538
20210125T0400,-0.9276633,94.0,4.73506,98.74616
20210125T0500,-0.5376633,92.0,3.96,89.99999
20210125T0600,-0.22766332,90.0,6.1305785,40.236343
20210125T0700,-0.0076633133,89.0,10.990322,31.607498
20210125T0800,0.18233669,89.0,12.287555,31.827438
20210125T0900,0.5023367,89.0,12.72283,25.114822
20210125T1000,1.3123367,83.0,12.074766,26.565033
20210125T1100,2.5823367,74.0,11.525623,14.470276
20210125T1200,3.6923368,67.0,14.417988,357.13757
20210125T1300,4.7223363,64.0,6.162207,353.29016
20210125T1400,5.4523363,61.0,5.8048253,352.875
20210125T1500,5.3223367,59.0,6.4799995,360.0
20210125T1600,4.8523364,59.0,7.9932976,7.765167
20210125T1700,4.3623366,60.0,9.826088,8.426956
20210125T1800,3.4423368,70.0,9.36,360.0
20210125T1900,2.3623366,75.0,11.726277,342.1213
20210125T2000,1.4423367,82.0,15.7908325,335.77228
20210125T2100,0.5523367,86.0,15.617529,334.02563
20210125T2200,-0.3876633,83.0,12.819235,308.15723
20210125T2300,-0.5476633,85.0,12.324414,276.70984
20210126T0000,-0.7976633,87.0,15.4800005,270.0
20210126T0100,-1.2776634,92.0,15.315873,246.44774
20210126T0200,-0.6976633,91.0,20.883102,234.11786
20210126T0300,0.0023366883,87.0,26.562046,237.17145
20210126T0400,1.1223367,90.0,31.99142,250.95337
20210126T0500,0.6723367,92.0,36.322556,256.23923
20210126T0600,0.76233673,88.0,37.641953,257.2929
20210126T0700,0.9523367,90.0,48.62133,268.30286
20210126T0800,0.9523367,90.0,46.741806,282.00232
20210126T0900,1.6723367,87.0,45.59368,291.29736
20210126T1000,2.6323366,82.0,46.030754,303.19293
20210126T1100,3.4823368,78.0,44.436306,310.3999
20210126T1200,4.1323366,73.0,48.6533,317.0989
20210126T1300,4.8323364,71.0,37.641953,303.69006
20210126T1400,4.9623365,70.0,36.0,306.8699
20210126T1500,4.8523364,70.0,33.004364,309.24542
20210126T1600,4.5523367,71.0,28.90107,309.44006
20210126T1700,3.6723368,75.0,21.986542,309.6855
20210126T1800,2.7123368,81.0,15.696165,306.6071
20210126T1900,2.1023366,85.0,11.681987,303.69006
20210126T2000,1.3323367,88.0,6.87779,276.009
20210126T2100,0.7323367,92.0,6.1094027,225.0
20210126T2200,0.4823367,93.0,7.653705,221.18593
20210126T2300,0.4823367,91.0,9.449572,229.63547
20210127T0000,0.6323367,90.0,9.19939,239.42078
20210127T0100,0.5623367,91.0,8.4963045,233.61565
20210127T0200,0.3623367,92.0,8.435069,219.80557
20210127T0300,0.23233669,92.0,9.449572,220.36453
20210127T0400,-0.10766332,92.0,10.464797,220.8151
20210127T0500,0.17233668,91.0,11.183201,213.17851
20210127T0600,0.08233669,93.0,13.202726,205.86636
20210127T0700,0.4723367,91.0,13.53236,208.61046
20210127T0800,0.7723367,89.0,16.09969,190.30484
20210127T0900,0.9923367,90.0,21.933426,203.1986
20210127T1000,1.5123367,88.0,27.345785,200.82089
20210127T1100,2.3723366,83.0,28.963785,212.30734
20210127T1200,2.6423366,82.0,27.238943,224.46454
20210127T1300,2.4523368,82.0,43.644707,208.04468
20210127T1400,3.0223367,81.0,44.068764,216.02737
20210127T1500,3.2723367,80.0,38.305763,229.57393
20210127T1600,3.4123366,78.0,31.557032,235.22217
20210127T1700,3.6323366,82.0,25.925,244.50244
20210127T1800,3.1623366,90.0,20.991426,247.83365
20210127T1900,2.5223367,96.0,19.523155,247.2176
20210127T2000,1.7523367,96.0,20.478907,259.87534
20210127T2100,1.9623367,95.0,20.545246,258.88696
20210127T2200,1.1323367,95.0,19.694992,251.89624
20210127T2300,1.9623367,96.0,21.288757,251.25867
20210128T0000,1.8023367,96.0,22.35481,255.06857
20210128T0100,1.7523367,96.0,21.518847,252.47443
20210128T0200,1.6223367,96.0,20.150354,251.24136
20210128T0300,1.9223367,96.0,19.05281,247.79654
20210128T0400,1.9923368,96.0,15.617529,244.0256
20210128T0500,2.3023367,97.0,12.682018,235.40771
20210128T0600,2.4623368,97.0,13.783817,220.76361
20210128T0700,2.7723367,98.0,13.217443,209.35776
20210128T0800,3.0023367,99.0,12.224107,193.627
20210128T0900,3.1723368,97.0,10.805999,178.09085
20210128T1000,3.6523366,96.0,8.905908,165.96376
20210128T1100,4.0723367,98.0,8.12197,167.19574
20210128T1200,4.3623366,97.0,11.659777,188.88066
20210128T1300,4.5623364,93.0,11.183201,213.17851
20210128T1400,5.8923364,92.0,12.218805,225.0
20210128T1500,7.5523367,90.0,11.753877,242.65013
20210128T1600,9.562337,90.0,15.5843,263.3675
20210128T1700,10.282336,89.0,19.959719,277.2532
20210128T1800,9.932337,89.0,22.007162,273.75174
20210128T1900,9.632337,89.0,21.647945,273.8141
20210128T2000,9.202336,90.0,20.163212,268.977
20210128T2100,8.652336,89.0,22.007162,266.2483
20210128T2200,8.192336,89.0,21.434364,262.27817
20210128T2300,7.8723364,89.0,18.782204,257.82855
20210129T0000,7.5223365,90.0,19.9954,256.46414
20210129T0100,7.1323366,91.0,15.716793,249.90477
20210129T0200,6.9023366,93.0,15.459054,242.24146
20210129T0300,6.3523364,96.0,9.957108,229.39871
20210129T0400,6.5123363,97.0,7.8954163,204.22775
20210129T0500,6.9723363,97.0,6.489992,183.17982
20210129T0600,8.102337,97.0,18.328207,225.0
20210129T0700,8.612336,94.0,26.309572,253.30075
20210129T0800,8.362336,84.0,35.64182,269.42126
20210129T0900,8.072336,86.0,26.642431,270.77423
20210129T1000,8.972337,78.0,29.88217,269.30972
20210129T1100,9.552337,75.0,32.76198,270.6296
20210129T1200,10.072336,71.0,33.847656,268.78113
20210129T1300,10.662336,71.0,36.217144,263.72272
20210129T1400,10.592337,70.0,35.85932,263.6598
20210129T1500,10.272336,69.0,32.527744,264.9204
20210129T1600,9.682337,70.0,28.58545,264.21762
20210129T1700,8.702336,73.0,25.212852,260.1342
20210129T1800,7.6823363,79.0,21.659918,254.57785
20210129T1900,7.4223366,83.0,18.919704,248.80594
20210129T2000,6.7123365,89.0,17.76081,252.29958
20210129T2100,6.2923365,91.0,16.039202,260.9605
20210129T2200,6.3023367,89.0,13.339445,266.90594
20210129T2300,5.8123364,89.0,14.685176,258.69006
20210130T0000,5.032336,92.0,16.58346,242.8787
20210130T0100,4.7023363,93.0,19.881649,238.32454
20210130T0200,4.5623364,93.0,22.26768,235.53918
20210130T0300,4.5523367,92.0,23.166218,237.05078
20210130T0400,4.8223367,91.0,25.864943,235.20398
20210130T0500,5.1323366,90.0,25.959969,236.30994
20210130T0600,4.9823365,89.0,25.630886,240.55457
20210130T0700,5.0523367,88.0,22.930048,247.8645
20210130T0800,4.3223367,83.0,23.838959,321.74557
20210130T0900,2.5223367,77.0,20.447239,333.8861
20210130T1000,1.6423367,72.0,22.3229,0.92404175
20210130T1100,1.6023366,69.0,20.140705,24.274445
20210130T1200,1.7223366,68.0,18.581022,35.53766
20210130T1300,2.1823368,75.0,25.6233,85.97173
20210130T1400,2.7323368,76.0,25.922499,89.20428
20210130T1500,2.4623368,77.0,31.319998,89.99999
20210130T1600,2.0523367,84.0,30.962095,90.66619
20210130T1700,1.2923367,91.0,29.339449,96.34019
20210130T1800,1.1623367,90.0,31.035257,93.990906
20210130T1900,0.9323367,92.0,30.652895,93.366455
20210130T2000,0.9923367,88.0,29.934166,93.44738
20210130T2100,1.3723367,81.0,32.09052,93.21548
20210130T2200,1.4523367,81.0,30.05515,96.18861
20210130T2300,1.4323367,83.0,26.400545,95.47736
20210131T0000,1.2723367,84.0,24.50381,87.473885
20210131T0100,0.8023367,88.0,22.253124,80.69006
20210131T0200,0.7923367,88.0,21.046917,77.15229
20210131T0300,0.25233668,90.0,19.011953,71.22196
20210131T0400,-0.41766334,90.0,20.929594,63.43495
20210131T0500,-0.13766332,85.0,24.023088,70.75047
20210131T0600,-0.5076633,85.0,22.077717,65.94265
20210131T0700,-1.4776633,87.0,21.120682,60.37625
20210131T0800,-1.9476633,86.0,20.969807,55.491463
20210131T0900,-1.4976633,82.0,21.734581,63.43495
20210131T1000,-0.0076633133,73.0,23.266697,81.99527
20210131T1100,1.5223367,69.0,23.576563,97.016495
20210131T1200,2.3323367,67.0,22.33161,110.772255
20210131T1300,3.3423367,67.0,15.484185,107.59242
20210131T1400,4.3123364,65.0,16.645864,111.571304
20210131T1500,4.6723366,63.0,17.388409,117.09555
20210131T1600,4.5123363,64.0,16.746773,115.46334
20210131T1700,3.7623367,68.0,13.708391,113.19859
20210131T1800,2.7423368,73.0,12.661564,104.82648
20210131T1900,2.1923368,76.0,13.441071,97.696045
20210131T2000,1.7323368,78.0,14.081478,94.398705
20210131T2100,1.9723366,77.0,15.827721,107.19854
20210131T2200,2.2723367,79.0,18.193361,117.072075
20210131T2300,2.2223368,82.0,19.022177,119.47589
20210201T0000,2.2923367,82.0,18.998316,117.0506
20210201T0100,2.1923368,82.0,19.008547,114.623566
20210201T0200,1.9723366,83.0,18.455048,110.556046
20210201T0300,1.6723367,85.0,17.076298,108.434944
20210201T0400,1.5923367,85.0,15.484185,107.59242
20210201T0500,1.4823368,85.0,15.629971,104.67639
20210201T0600,1.4523367,85.0,15.034041,106.69924
20210201T0700,1.6223367,86.0,13.661038,108.434944
20210201T0800,1.8323367,88.0,12.641076,109.9831
20210201T0900,2.2623367,89.0,12.181625,108.9704
20210201T1000,3.6123366,86.0,12.10157,112.75097
20210201T1100,5.0723367,85.0,9.585739,124.28687
20210201T1200,6.0123363,86.0,6.193674,125.537674
20210201T1300,6.1123366,85.0,7.289445,122.90524
20210201T1400,7.0123363,84.0,3.8268526,131.18591
20210201T1500,7.4423366,85.0,0.35999998,270.0
20210201T1600,7.5123363,86.0,4.896529,287.10272
20210201T1700,7.2123365,88.0,5.8603754,280.61966
20210201T1800,6.7623363,89.0,6.489992,273.17984
20210201T1900,6.4523363,90.0,6.849467,273.0128
20210201T2000,6.0023365,93.0,7.072878,284.74356
20210201T2100,5.5423365,93.0,7.42159,284.03625
20210201T2200,4.9923363,93.0,7.5942073,275.44034
20210201T2300,4.8123364,93.0,7.5942073,275.44034
20210202T0000,4.5123363,93.0,8.28,270.0
20210202T0100,4.3323364,93.0,8.707238,262.875
20210202T0200,4.3523364,93.0,7.9526596,264.80557
20210202T0300,3.9023366,93.0,7.69592,259.2157
20210202T0400,3.7723367,93.0,10.739833,256.42957
20210202T0500,3.8323367,89.0,11.165805,249.22775
20210202T0600,3.3823366,90.0,12.594856,239.03625
20210202T0700,2.9023366,91.0,12.229406,227.38594
20210202T0800,2.2223368,92.0,14.264361,222.95459
20210202T0900,2.9023366,89.0,15.349684,219.28941
20210202T1000,4.2223363,85.0,17.595861,210.76273
20210202T1100,5.0423365,85.0,17.447933,201.8014
20210202T1200,5.6323366,86.0,14.512064,187.12502
20210202T1300,7.2223363,89.0,17.518356,189.46233
20210202T1400,8.102337,86.0,16.73516,198.8247
20210202T1500,9.182337,88.0,19.083395,215.78897
20210202T1600,10.352337,85.0,19.373219,221.98721
20210202T1700,10.392337,89.0,15.281989,223.09085
20210202T1800,10.362336,89.0,17.31746,223.3153
20210202T1900,10.032336,91.0,19.174856,230.33215
20210202T2000,9.382337,94.0,14.773164,226.97495
20210202T2100,9.442336,96.0,16.595179,229.39871
20210202T2200,9.402336,93.0,17.0763,235.30484
20210202T2300,9.132337,95.0,15.530151,224.0608
20210203T0000,8.802337,94.0,18.504139,232.90717
20210203T0100,7.9423366,95.0,14.255272,225.0
20210203T0200,8.072336,95.0,14.658676,204.67686
20210203T0300,8.312337,94.0,16.800856,225.0
20210203T0400,7.9623365,95.0,16.870138,219.80557
20210203T0500,7.8823366,95.0,14.982228,215.21759
20210203T0600,8.012337,95.0,14.57889,212.90524
20210203T0700,7.8323364,97.0,11.631956,201.8014
20210203T0800,8.442336,97.0,15.617529,205.9744
20210203T0900,9.032336,97.0,15.807239,210.06859
20210203T1000,10.282336,93.0,9.255571,193.49573
20210203T1100,10.732336,93.0,13.397612,173.82982
20210203T1200,10.622336,95.0,14.494192,165.6186
20210203T1300,10.552337,95.0,25.516865,196.38954
20210203T1400,11.422337,91.0,25.071096,195.83238
20210203T1500,12.282336,83.0,29.533169,225.98776
20210203T1600,12.162336,72.0,31.765793,231.4416
20210203T1700,11.782336,72.0,31.682043,233.78116
20210203T1800,10.732336,76.0,29.179993,231.009
20210203T1900,10.302337,80.0,28.775238,223.47923
20210203T2000,10.042336,82.0,32.587456,224.10483
20210203T2100,9.902336,83.0,32.61727,232.62419
20210203T2200,9.552337,84.0,32.379993,241.44038
20210203T2300,8.922337,79.0,33.231335,247.04591
20210204T0000,8.082336,80.0,33.72491,253.8866
20210204T0100,8.082336,80.0,29.934166,273.4474
20210204T0200,7.9223366,79.0,20.12461,259.69516
20210204T0300,7.3223367,82.0,21.434364,240.85193
20210204T0400,6.6223364,81.0,25.872454,248.79077
20210204T0500,5.7023363,85.0,22.545315,250.40771
20210204T0600,5.6123366,85.0,19.809813,250.90651
20210204T0700,4.532336,89.0,17.533146,250.82098
20210204T0800,3.6823368,91.0,15.137133,244.65384
20210204T0900,3.9323368,90.0,15.141414,241.60698
20210204T1000,5.1623363,85.0,16.42247,243.99666
20210204T1100,6.4323363,80.0,16.904673,243.43495
20210204T1200,7.6823363,76.0,14.88242,237.84772
20210204T1300,8.652336,73.0,13.684735,234.63754
20210204T1400,9.482336,68.0,13.70839,240.0685
20210204T1500,9.852337,66.0,10.464797,243.43495
20210204T1600,9.852337,64.0,6.297428,239.03625
20210204T1700,9.462337,67.0,4.802999,192.99461
20210204T1800,9.342337,66.0,3.9763298,174.80557
20210204T1900,9.162336,66.0,4.8965297,126.027374
20210204T2000,8.602337,70.0,5.8048253,119.74488
20210204T2100,8.042336,72.0,7.9036193,120.06859
20210204T2200,7.5423365,75.0,5.4833565,113.19859
20210204T2300,6.8023367,79.0,7.5685663,92.72631
20210205T0000,6.2023363,83.0,8.12197,77.19573
20210205T0100,5.8223367,85.0,7.289444,69.77513
20210205T0200,5.7123365,86.0,7.9526596,84.805565
20210205T0300,5.4123363,87.0,5.771239,86.42367
20210205T0400,5.0623364,89.0,6.439876,63.43495
20210205T0500,4.6823363,91.0,7.2,53.130096
20210205T0600,4.7723365,90.0,6.6185193,67.61986
20210205T0700,4.7723365,91.0,5.0142193,111.03751
20210205T0800,4.7523365,92.0,4.510787,118.61046
20210205T0900,5.282336,92.0,6.4096174,128.15723
20210205T1000,6.0823364,90.0,5.1165614,129.2894
20210205T1100,7.0023365,88.0,3.319036,167.47119
20210205T1200,8.632337,86.0,3.2599385,173.6598
20210205T1300,9.0023365,87.0,3.563818,225.0
20210205T1400,9.152336,87.0,4.072935,135.0
20210205T1500,9.222337,88.0,2.7416782,156.8014
20210205T1600,9.032336,88.0,4.1046314,127.874985
20210205T1700,8.292336,91.0,7.6367526,135.0
20210205T1800,8.042336,92.0,5.904439,142.4314
20210205T1900,7.8323364,93.0,3.219938,153.43495
20210205T2000,7.5823364,94.0,2.6208394,105.9454
20210205T2100,7.2623363,94.0,4.5536795,71.56504
20210205T2200,6.8023367,96.0,6.638072,49.398697
20210205T2300,6.3423367,96.0,8.4963045,53.61563
20210206T0000,5.9323363,95.0,8.435069,50.194427
20210206T0100,5.4923363,95.0,8.209263,37.87497
20210206T0200,5.3623366,94.0,12.031756,38.927536
20210206T0300,5.2923365,92.0,11.525623,38.659805
20210206T0400,5.3523364,92.0,10.97262,48.990906
20210206T0500,5.1923366,94.0,10.685391,57.380745
20210206T0600,5.1223364,94.0,13.896187,53.426956
20210206T0700,5.1723366,94.0,14.693999,59.036255
20210206T0800,5.2223363,93.0,15.990646,58.815025
20210206T0900,5.2723365,93.0,17.22742,63.970406
20210206T1000,5.2123365,93.0,17.76081,72.29957
20210206T1100,5.4623365,93.0,19.05281,67.796524
20210206T1200,5.9823365,91.0,20.991426,67.83366
20210206T1300,6.4323363,89.0,20.60823,70.61548
20210206T1400,6.7523365,84.0,15.315873,66.44773
20210206T1500,7.0023365,82.0,21.99538,68.89516
20210206T1600,6.6123366,80.0,22.734219,79.04594
20210206T1700,5.9023366,80.0,22.657131,72.42874
20210206T1800,5.7123365,81.0,22.314192,79.77783
20210206T1900,5.2523365,84.0,22.702845,75.30268
20210206T2000,5.1523366,83.0,26.27753,80.537674
20210206T2100,4.5823364,82.0,21.26744,87.08916
20210206T2200,4.1923366,82.0,20.211363,94.08562
20210206T2300,3.9723368,82.0,20.192118,78.69006
20210207T0000,3.7123368,83.0,19.839235,78.48617
20210207T0100,3.5923367,81.0,22.253124,80.69006
20210207T0200,3.0223367,81.0,22.79684,74.42745
20210207T0300,2.3923366,82.0,21.96295,89.06081
20210207T0400,2.1323366,80.0,28.856194,93.576324
20210207T0500,2.1823368,79.0,23.584808,102.33909
20210207T0600,2.1623366,80.0,20.870687,104.99507
20210207T0700,1.8523366,82.0,22.89611,106.44038
20210207T0800,1.1423367,82.0,26.867676,107.949394
20210207T0900,0.6323367,81.0,23.491207,105.1011
20210207T1000,2.2523367,76.0,21.659918,105.42216
20210207T1100,3.8523366,73.0,22.553934,114.519646
20210207T1200,4.2123365,75.0,21.325253,111.80141
20210207T1300,3.7123368,80.0,18.792551,106.69924
20210207T1400,4.5823364,75.0,15.484185,54.46232
20210207T1500,4.4923363,77.0,17.057314,44.144897
20210207T1600,4.1623363,78.0,15.546833,47.81555
20210207T1700,4.0223365,78.0,10.97262,41.009094
20210207T1800,3.9123366,83.0,8.587338,56.976128
20210207T1900,3.8623366,88.0,11.879999,89.99999
20210207T2000,2.7823367,91.0,14.003029,72.03086
20210207T2100,1.3323367,92.0,18.25026,75.14138
20210207T2200,0.4323367,93.0,20.730501,69.67686
20210207T2300,0.4123367,92.0,21.897945,80.537674
20210208T0000,1.0323367,86.0,25.49908,103.055244
20210208T0100,-0.14766331,88.0,27.534704,101.30993
20210208T0200,-1.0976633,82.0,21.325253,21.801407
20210208T0300,-2.0476632,81.0,21.638964,44.32596
20210208T0400,-3.0476632,74.0,24.363249,55.840294
20210208T0500,-3.5776632,77.0,26.89419,62.062843
20210208T0600,-3.0876634,83.0,23.770906,91.7357
20210208T0700,-4.3276634,72.0,26.64,89.99999
20210208T0800,-4.1776633,73.0,24.48,89.99999
20210208T0900,-3.8476634,73.0,23.0653,92.68377
20210208T1000,-2.9776633,69.0,19.803272,91.04162
20210208T1100,-2.0076632,64.0,19.602652,82.61395
20210208T1200,-1.2876633,62.0,19.839235,78.48617
20210208T1300,-0.6976633,61.0,20.478907,79.87532
20210208T1400,-0.3176633,62.0,18.888851,82.33319
20210208T1500,-0.09766331,64.0,19.70815,80.537674
20210208T1600,-0.2576633,66.0,22.461807,83.5584
20210208T1700,-0.8976633,68.0,24.967499,84.2072
20210208T1800,-2.1376634,72.0,26.552288,77.47118
20210208T1900,-3.0776632,71.0,26.019806,75.57923
20210208T2000,-3.6376634,72.0,24.675106,66.8014
20210208T2100,-4.0476637,71.0,22.870626,61.821404
20210208T2200,-4.7976637,73.0,24.162947,56.546677
20210208T2300,-5.2776637,72.0,24.344624,51.604828